tool name,genome count in reads,error rate,time,memory,recall,precision,read count error
PhageFilter,66,0.1,476290396,27104,0.9393939393939394,0.9538461538461539,3.0806451612903225
Kraken2,66,0.1,54549441,27104,0.9696969696969697,1.0,2.578125
BioBloomTools,66,0.1,564759563,500732,1.0,0.8918918918918919,1.8181818181818181
FastViromeExplorer,77,0.0,835378323,224084,1.0,1.0,0.2368855844155845
PhageFilter,77,0.0,489665443,27108,1.0,0.9506172839506173,3.0
Kraken2,77,0.0,51700636,27108,0.987012987012987,1.0,0.47368421052631576
BioBloomTools,77,0.0,596217518,500728,1.0,0.9625,0.4805194805194805
FastViromeExplorer,77,0.02,821204494,224084,1.0,1.0,0.2960427272727273
PhageFilter,77,0.02,488426401,27108,1.0,0.9625,1.948051948051948
Kraken2,77,0.02,55852024,27108,1.0,1.0,0.44155844155844154
BioBloomTools,77,0.02,579282589,500732,1.0,0.927710843373494,0.36363636363636365
FastViromeExplorer,77,0.04,821717922,224084,1.0,1.0,0.7746886987012986
PhageFilter,77,0.04,495587625,27108,1.0,0.9506172839506173,1.9090909090909092
Kraken2,77,0.04,52889875,27108,0.987012987012987,1.0,0.5921052631578947
BioBloomTools,77,0.04,564649257,500728,1.0,0.9625,0.6493506493506493
FastViromeExplorer,77,0.06,821902192,224084,1.0,0.9871794871794872,1.3189433636363637
PhageFilter,77,0.06,488235538,27108,0.987012987012987,0.95,1.618421052631579
Kraken2,77,0.06,57752146,27108,0.987012987012987,1.0,1.0
BioBloomTools,77,0.06,564475299,500728,1.0,0.9390243902439024,0.8311688311688312
FastViromeExplorer,77,0.08,831299258,224088,0.987012987012987,1.0,2.053686315789474
PhageFilter,77,0.08,472453605,27108,0.987012987012987,0.9382716049382716,1.9473684210526316
Kraken2,77,0.08,53528369,27108,0.961038961038961,0.9736842105263158,1.3108108108108107
BioBloomTools,77,0.08,547880169,500728,1.0,0.8953488372093024,0.961038961038961
FastViromeExplorer,77,0.1,824655966,224080,0.948051948051948,0.9864864864864865,3.0379683561643835
PhageFilter,77,0.1,486698565,27108,0.8571428571428571,0.9705882352941176,2.606060606060606
Kraken2,77,0.1,51478371,27108,0.987012987012987,1.0,2.210526315789474
BioBloomTools,77,0.1,554011608,500728,1.0,0.9166666666666666,1.7662337662337662
