kmer size, theta, error rate, number of genomes, read count, time, memory, recall, precision, avg read count error
15, 0.0, 0.1, 45, 10000, 43755746845, 740192256, 0.0, 0, nan
15, 0.0, 0.1, 55, 10000, 43650423096, 740192256, 0.0, 0, nan
15, 0.0, 0.05, 30, 10000, 87563825212, 740192256, 0.0, 0, nan
15, 0.0, 0.01, 30, 10000, 97867674370, 740192256, 0.0, 0, nan
15, 0.0, 0.01, 40, 10000, 63784768816, 740192256, 0.0, 0, nan
15, 0.0, 0.01, 45, 10000, 62617236622, 740192256, 0.0, 0, nan
15, 0.0, 0.05, 45, 10000, 44504286253, 740192256, 0.0, 0, nan
15, 0.0, 0.01, 55, 10000, 61339359319, 740192256, 0.0, 0, nan
15, 0.0, 0.1, 50, 10000, 43779113587, 740192256, 0.0, 0, nan
15, 0.0, 0.01, 35, 10000, 59303758129, 740192256, 0.0, 0, nan
15, 0.0, 0.0, 50, 10000, 66450759294, 740192256, 0.0, 0, nan
15, 0.0, 0.05, 35, 10000, 45587463147, 740192256, 0.0, 0, nan
20, 1.0, 0.05, 50, 10000, 31707772545, 746426368, 0.82, 0.8913043478260869, 194.2439024390244
20, 1.0, 0.0, 45, 10000, 32827181645, 746426368, 1.0, 0.8181818181818182, 68.08888888888889
20, 1.0, 0.0, 55, 10000, 32938383949, 746426368, 1.0, 0.873015873015873, 80.87272727272727
20, 1.0, 0.01, 50, 10000, 30565270229, 746426368, 1.0, 0.8771929824561403, 180.0
20, 1.0, 0.1, 45, 10000, 29139839591, 746426368, 0.08888888888888889, 1.0, 221.0
20, 1.0, 0.1, 55, 10000, 29096013494, 746426368, 0.05454545454545454, 0.75, 180.0
20, 1.0, 0.05, 30, 10000, 28622665852, 746426368, 0.7551020408163265, 0.8222222222222222, 420.2162162162162
20, 1.0, 0.01, 30, 10000, 31007081756, 746426368, 1.0, 0.8947368421052632, 342.9019607843137
20, 1.0, 0.01, 40, 10000, 33012627800, 746426368, 1.0, 0.8163265306122449, 217.15
20, 1.0, 0.01, 45, 10000, 31898895042, 746426368, 1.0, 0.8653846153846154, 214.66666666666666
20, 1.0, 0.05, 45, 10000, 28158403725, 746426368, 0.7555555555555555, 0.7906976744186046, 215.35294117647058
20, 1.0, 0.01, 55, 10000, 29328023802, 746426368, 1.0, 0.8870967741935484, 151.63636363636363
20, 1.0, 0.1, 50, 10000, 28025366040, 746426368, 0.04, 1.0, 198.5
20, 1.0, 0.01, 35, 10000, 29017220554, 746426368, 1.0, 0.7446808510638298, 270.45714285714286
20, 1.0, 0.0, 50, 10000, 32211773441, 746426368, 1.0, 0.9259259259259259, 48.6
20, 1.0, 0.05, 35, 10000, 29566589243, 746426368, 0.8857142857142857, 0.8157894736842105, 277.5483870967742
20, 0.9, 0.05, 50, 10000, 28477719463, 746426368, 0.84, 0.84, 190.47619047619048
20, 0.9, 0.0, 45, 10000, 30507729734, 746426368, 1.0, 0.8181818181818182, 82.22222222222223
20, 0.9, 0.0, 55, 10000, 31194097251, 746426368, 1.0, 0.873015873015873, 97.6
20, 0.9, 0.01, 50, 10000, 29849649168, 746426368, 1.0, 0.847457627118644, 147.88
20, 0.9, 0.1, 45, 10000, 28343547715, 746426368, 0.35555555555555557, 0.8888888888888888, 220.9375
20, 0.9, 0.1, 55, 10000, 28342268168, 746426368, 0.2, 0.9166666666666666, 179.8181818181818
20, 0.9, 0.05, 30, 10000, 28556635239, 746426368, 0.7346938775510204, 0.782608695652174, 413.30555555555554
20, 0.9, 0.01, 30, 10000, 30925219280, 746426368, 1.0, 0.8793103448275862, 315.72549019607845
20, 0.9, 0.01, 40, 10000, 29741437834, 746426368, 1.0, 0.8163265306122449, 184.7
20, 0.9, 0.01, 45, 10000, 29244128007, 746426368, 1.0, 0.7894736842105263, 180.17777777777778
20, 0.9, 0.05, 45, 10000, 28948288058, 746426368, 0.8666666666666667, 0.7959183673469388, 211.05128205128204
20, 0.9, 0.01, 55, 10000, 29236839043, 746426368, 1.0, 0.873015873015873, 123.56363636363636
20, 0.9, 0.1, 50, 10000, 28091421469, 746426368, 0.18, 1.0, 198.88888888888889
20, 0.9, 0.01, 35, 10000, 29341699102, 746426368, 1.0, 0.7, 235.14285714285714
20, 0.9, 0.0, 50, 10000, 30451800937, 746426368, 1.0, 0.847457627118644, 54.52
20, 0.9, 0.05, 35, 10000, 27975524375, 746426368, 1.0, 0.813953488372093, 272.65714285714284
20, 0.8, 0.05, 50, 10000, 29457170734, 746426368, 0.86, 0.8431372549019608, 183.3953488372093
20, 0.8, 0.0, 45, 10000, 37234028706, 746426368, 1.0, 0.8181818181818182, 98.31111111111112
20, 0.8, 0.0, 55, 10000, 32203958238, 746426368, 1.0, 0.873015873015873, 118.43636363636364
20, 0.8, 0.01, 50, 10000, 30388015578, 746426368, 1.0, 0.8333333333333334, 129.84
20, 0.8, 0.1, 45, 10000, 28168645805, 746426368, 0.6, 0.7941176470588235, 220.4814814814815
20, 0.8, 0.1, 55, 10000, 28122167559, 746426368, 0.5272727272727272, 0.90625, 179.79310344827587
20, 0.8, 0.05, 30, 10000, 28756830663, 746426368, 0.7959183673469388, 0.78, 390.94871794871796
20, 0.8, 0.01, 30, 10000, 31687847941, 746426368, 0.9215686274509803, 0.8703703703703703, 308.4255319148936
