kmer size,theta,error rate,number of genomes,read count,time,memory,classification recall,classification precision,filter recall,filter precision,avg read count error
35,1.0,0.04,33,100000,5162497443,52324,1.0,0.8333333333333334,0.04806,1.0,4756.0
35,0.0,0.06,33,100000,29093476683,67492,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
35,0.2,0.06,33,100000,5731386981,47152,1.0,1.0,0.38172,0.9992147008010052,3091.0
35,0.4,0.06,33,100000,5107839529,49500,1.0,0.8333333333333334,0.18662,0.9997857066323798,4067.0
35,0.6,0.06,33,100000,4084173293,46084,1.0,1.0,0.07132,1.0,4643.4
35,0.8,0.06,33,100000,4134064691,61304,1.0,0.8333333333333334,0.02822,1.0,4858.8
35,1.0,0.06,33,100000,3860427926,45616,1.0,1.0,0.0106,1.0,4947.0
35,0.0,0.08,33,100000,29113021645,65932,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
35,0.2,0.08,33,100000,4875501250,46612,1.0,0.7692307692307693,0.21856,0.9997255511847041,3907.8
35,0.4,0.08,33,100000,5046727741,50384,1.0,0.8333333333333334,0.08326,0.999279884781565,4573.7
35,0.6,0.08,33,100000,4255016526,48924,1.0,0.9090909090909091,0.02592,1.0,4868.1
35,0.8,0.08,33,100000,4426580340,51208,1.0,0.9090909090909091,0.00848,0.9976470588235294,4957.1
35,1.0,0.08,33,100000,3804518005,52780,1.0,0.9090909090909091,0.00202,1.0,4989.9
35,0.0,0.1,33,100000,28145672406,68120,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
35,0.2,0.1,33,100000,4492246496,46196,1.0,0.8333333333333334,0.12038,0.9998338870431893,4398.4
35,0.4,0.1,33,100000,4373965721,46496,1.0,0.7692307692307693,0.03554,1.0,4822.4
35,0.6,0.1,33,100000,4199434106,53580,1.0,0.9090909090909091,0.00936,1.0,4953.4
35,0.8,0.1,33,100000,4272677449,46972,1.0,0.9090909090909091,0.0025,1.0,4986.2
35,1.0,0.1,33,100000,3140566174,43008,0.9,0.9,0.00046,1.0,4997.444444444444
40,0.0,0.0,33,100000,29021156665,64632,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
40,0.2,0.0,33,100000,6453134095,50996,1.0,0.8333333333333334,1.0,0.9990808456220277,222.4
40,0.4,0.0,33,100000,6345777016,50676,1.0,0.7692307692307693,1.0,0.9994802702594651,193.0
40,0.6,0.0,33,100000,6157668953,48200,1.0,0.8333333333333334,1.0,0.9994403134244823,191.3
40,0.8,0.0,33,100000,5637158970,48352,1.0,1.0,1.0,0.9996001599360256,0.0
40,1.0,0.0,33,100000,5482807744,47528,1.0,1.0,1.0,0.9995601935148535,1.5
40,0.0,0.02,33,100000,31903526151,66140,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
40,0.2,0.02,33,100000,5473453655,48348,1.0,1.0,0.80988,0.9993090173239229,950.6
40,0.4,0.02,33,100000,4935119375,47236,1.0,0.7692307692307693,0.58474,0.9995213838843117,2076.1
40,0.6,0.02,33,100000,5300466129,46380,1.0,0.8333333333333334,0.42958,0.9995811615785555,2809.2
40,0.8,0.02,33,100000,4721172862,48232,1.0,0.9090909090909091,0.31536,0.9997463860005072,3404.5
40,1.0,0.02,33,100000,4925706960,47336,1.0,1.0,0.22076,0.9998188405797102,3840.6
40,0.0,0.04,33,100000,27907057114,64380,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
40,0.2,0.04,33,100000,5988227214,49428,1.0,0.8333333333333334,0.51842,0.9994216533004319,2084.3
40,0.4,0.04,33,100000,4965994249,48920,1.0,0.8333333333333334,0.2965,0.9994606620373492,3498.1
40,0.6,0.04,33,100000,4808118011,46624,1.0,0.8333333333333334,0.16892,0.9994083540409419,4147.4
40,0.8,0.04,33,100000,4430113500,44932,1.0,0.9090909090909091,0.09564,0.9995819397993311,4522.0
40,1.0,0.04,33,100000,4093832438,45276,1.0,1.0,0.04888,0.9995910020449897,4755.6
40,0.0,0.06,33,100000,27594929059,62128,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
40,0.2,0.06,33,100000,4549040493,60072,1.0,0.7692307692307693,0.29366,0.9995234853641933,3532.7
40,0.4,0.06,33,100000,4429694146,46924,1.0,0.8333333333333334,0.13936,0.9992829485157034,4303.6
40,0.6,0.06,33,100000,4706696349,46656,1.0,0.7692307692307693,0.0642,0.9996885705387729,4679.2
40,0.8,0.06,33,100000,4488445856,50312,1.0,1.0,0.02744,0.9992716678805535,4855.2
40,1.0,0.06,33,100000,4048317286,45476,1.0,0.9090909090909091,0.01018,1.0,4948.9
40,0.0,0.08,33,100000,28580602620,63060,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
40,0.2,0.08,33,100000,5709864623,54984,1.0,0.8333333333333334,0.15828,0.9993686071473671,4130.4
40,0.4,0.08,33,100000,4688877946,45796,1.0,0.8333333333333334,0.06022,0.999667994687915,4677.3
40,0.6,0.08,33,100000,3994313403,45152,1.0,0.9090909090909091,0.0226,0.9991158267020336,4887.0
40,0.8,0.08,33,100000,4350813502,52696,1.0,0.9090909090909091,0.0073,1.0,4963.5
40,1.0,0.08,33,100000,3538843313,46432,1.0,0.8333333333333334,0.00192,1.0,4990.4
40,0.0,0.1,33,100000,28623520677,64912,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
40,0.2,0.1,33,100000,4239586696,45996,1.0,0.9090909090909091,0.08136,0.9985272459499264,4593.2
40,0.4,0.1,33,100000,4358879696,49732,1.0,0.8333333333333334,0.02542,1.0,4873.0
40,0.6,0.1,33,100000,4426905067,49088,1.0,0.9090909090909091,0.00754,1.0,4961.6
40,0.8,0.1,33,100000,3880107487,44772,1.0,0.8333333333333334,0.00152,1.0,4992.2
40,1.0,0.1,33,100000,2877242290,40084,0.8,1.0,0.00046,1.0,4997.125
45,0.0,0.0,33,100000,27813049254,65808,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
45,0.2,0.0,33,100000,6173817990,50512,1.0,0.8333333333333334,1.0,0.9991407389644905,237.7
45,0.4,0.0,33,100000,6408782917,49884,1.0,0.7692307692307693,1.0,0.9993803841618196,244.3
45,0.6,0.0,33,100000,5952681280,55176,1.0,0.8333333333333334,1.0,0.9994602914426209,1.9
45,0.8,0.0,33,100000,5525181419,47628,1.0,0.9090909090909091,1.0,0.9997200783780541,55.6
45,1.0,0.0,33,100000,5674907385,50040,1.0,0.8333333333333334,1.0,0.9998200323941691,71.6
45,0.0,0.02,33,100000,29029990789,63484,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
45,0.2,0.02,33,100000,5059793272,48604,1.0,0.9090909090909091,0.71386,0.9993560309105163,1430.7
45,0.4,0.02,33,100000,5400703149,52804,1.0,0.8333333333333334,0.54144,0.9994093325457767,2228.0
45,0.6,0.02,33,100000,5425077542,54616,1.0,0.8333333333333334,0.40738,0.9994112163289338,2953.3
45,0.8,0.02,33,100000,5046062533,50748,1.0,0.8333333333333334,0.30262,0.9996036202682169,3486.6
45,1.0,0.02,33,100000,4690044579,48152,1.0,1.0,0.22064,0.9997281377435433,3840.8
45,0.0,0.04,33,100000,29235342758,65488,1.0,0.30303030303030304,1.0,0.500010000200004,94998.0
45,0.2,0.04,33,100000,5173971164,47676,1.0,0.7692307692307693,0.42588,0.9994836892748181,2870.5
45,0.4,0.04,33,100000,5613841685,46488,1.0,0.7692307692307693,0.25852,0.9998452970297029,3708.4
45,0.6,0.04,33,100000,4983688891,46260,1.0,1.0,0.15216,0.9997371879106439,4237.5
45,0.8,0.04,33,100000,4340498006,47852,1.0,0.9090909090909091,0.08704,1.0,4564.8
